"","data","codigo","id","desc1","desc2","valor_brl","saldo","tipo"
"1",2022-07-01,"beneficio flash",NA,"entrada",NA,700,NA,"cartao_flash"
"2",2022-07-06,"pao de acucar",NA,"supermercado",NA,-148.59,NA,"cartao_flash"
"3",2022-07-08,"west market",NA,"supermercado",NA,-10,NA,"cartao_flash"
"4",2022-07-12,"sia pão",NA,"padaria",NA,-22.71,NA,"cartao_flash"
"5",2022-07-12,"west market",NA,"supermercado",NA,-10.99,NA,"cartao_flash"
"6",2022-07-31,"supermercado ubatuba",NA,"viagem",NA,-35.9,NA,"cartao_flash"
"7",2022-08-01,"beneficio flash",NA,"entrada",NA,700,NA,"cartao_flash"
"8",2022-08-03,"west market",NA,"supermercado",NA,-23.9,NA,"cartao_flash"
"9",2022-08-04,"meio dia barriga vazia",NA,"restaurante",NA,-55.37,NA,"cartao_flash"
"10",2022-08-04,"west market",NA,"supermercado",NA,-15.9,NA,"cartao_flash"
"11",2022-08-04,"pao de acucar",NA,"supermercado",NA,-196.23,NA,"cartao_flash"
"12",2022-08-09,"siapao",NA,"padaria",NA,-49.9,NA,"cartao_flash"
"13",2022-08-10,"pao de acucar",NA,"supermercado",NA,-213.81,NA,"cartao_flash"
"14",2022-08-13,"pao de acucar",NA,"supermercado",NA,-130.22,NA,"cartao_flash"
"15",2022-08-14,"Hildebrando Pererira Sao Paulo Bra",NA,"feira",NA,-14,NA,"cartao_flash"
"16",2022-08-14,"Laticinios Ninoejosy Sao Paulo Bra",NA,"feira",NA,-33,NA,"cartao_flash"
"17",2022-08-15,"west market",NA,"supermercado",NA,-21.07,NA,"cartao_flash"
"18",2022-08-16,"west market",NA,"supermercado",NA,-9,NA,"cartao_flash"
"19",2022-08-17,"pao de acucar",NA,"supermercado",NA,-175,NA,"cartao_flash"
"20",2022-08-20,"padaria",NA,"padaria",NA,-25,NA,"cartao_flash"
"21",2022-08-20,"popdonuts",NA,"restaurante",NA,-29,NA,"cartao_flash"
"22",2022-08-20,"siapao",NA,"padaria",NA,-16.65,NA,"cartao_flash"
"23",2022-08-25,"pao de acucar",NA,"supermercado",NA,-90.61,NA,"cartao_flash"
